UID,Stratum,featTyp,spuddate,Date,USUh,n
ALU_44_undisturbed,ALU,undisturbed,NA,2001-09-01,0.02792258099528408,5
ALU_38_undisturbed,ALU,undisturbed,NA,2001-09-01,0.02963563048395144,5
ALU_43_undisturbed,ALU,undisturbed,NA,2001-09-01,0.02594286712663516,5
ALU_39_undisturbed,ALU,undisturbed,NA,2001-09-01,0.02828238194554613,5
ALU_52_undisturbed,ALU,undisturbed,NA,2001-09-01,0.02778639343369943,5
ALU_101_disturbed,ALU,disturbed,1999-01-01,2001-10-01,0.03033984640620237,5
ALU_102_disturbed,ALU,disturbed,1999-01-01,2001-10-01,0.02877196069228235,5
ALU_103_disturbed,ALU,disturbed,1999-01-01,2001-10-01,0.02901900199710539,5
ALU_28_disturbed,ALU,disturbed,1979-05-04,2001-10-01,0.0268873267495409,5
ALU_104_disturbed,ALU,disturbed,1999-01-01,2001-10-01,0.02552425689557076,5
ALU_35_undisturbed,ALU,undisturbed,NA,2001-10-01,0.02862589127616725,5
ALU_44_undisturbed,ALU,undisturbed,NA,2001-10-01,0.02841621106160783,5
ALU_33_undisturbed,ALU,undisturbed,NA,2001-10-01,0.02970545544925655,5
ALU_38_undisturbed,ALU,undisturbed,NA,2001-10-01,0.02978181160160905,5
ALU_41_undisturbed,ALU,undisturbed,NA,2001-10-01,0.02794322195165799,5
ALU_102_disturbed,ALU,disturbed,1999-01-01,2002-03-01,0.0279851934857218,7
ALU_103_disturbed,ALU,disturbed,1999-01-01,2002-03-01,0.02920177374362997,7
ALU_104_disturbed,ALU,disturbed,1999-01-01,2002-03-01,0.02780487135764366,7
ALU_101_disturbed,ALU,disturbed,1999-01-01,2002-03-01,0.02966543348831063,7
ALU_28_disturbed,ALU,disturbed,1979-05-04,2002-03-01,0.02624865771869445,7
ALU_27_disturbed,ALU,disturbed,2001-10-21,2002-03-01,0.02817487356545205,7
ALU_21_disturbed,ALU,disturbed,2001-11-12,2002-03-01,0.02589259124431763,7
ALU_34_undisturbed,ALU,undisturbed,NA,2002-03-01,0.02764567688022064,7
ALU_50_undisturbed,ALU,undisturbed,NA,2002-03-01,0.0274870550078628,7
ALU_39_undisturbed,ALU,undisturbed,NA,2002-03-01,0.02778735649864407,7
ALU_30_undisturbed,ALU,undisturbed,NA,2002-03-01,0.02951693019505674,7
ALU_37_undisturbed,ALU,undisturbed,NA,2002-03-01,0.02881314398393654,7
ALU_52_undisturbed,ALU,undisturbed,NA,2002-03-01,0.02717669787778788,7
ALU_33_undisturbed,ALU,undisturbed,NA,2002-03-01,0.02803930621104653,7
ALU_104_disturbed,ALU,disturbed,1999-01-01,2002-04-01,0.02644660948256642,7
ALU_102_disturbed,ALU,disturbed,1999-01-01,2002-04-01,0.02719985289110957,7
ALU_27_disturbed,ALU,disturbed,2001-10-21,2002-04-01,0.02869920031140535,7
ALU_103_disturbed,ALU,disturbed,1999-01-01,2002-04-01,0.02734252298163492,7
ALU_101_disturbed,ALU,disturbed,1999-01-01,2002-04-01,0.02782779749698916,7
ALU_21_disturbed,ALU,disturbed,2001-11-12,2002-04-01,0.02578166798179138,7
ALU_28_disturbed,ALU,disturbed,1979-05-04,2002-04-01,0.02666890020169109,7
ALU_50_undisturbed,ALU,undisturbed,NA,2002-04-01,0.02666433509833066,7
ALU_38_undisturbed,ALU,undisturbed,NA,2002-04-01,0.02798159357152749,7
ALU_52_undisturbed,ALU,undisturbed,NA,2002-04-01,0.02724358069863913,7
ALU_44_undisturbed,ALU,undisturbed,NA,2002-04-01,0.02770285694677105,7
ALU_37_undisturbed,ALU,undisturbed,NA,2002-04-01,0.02704160612507545,7
ALU_41_undisturbed,ALU,undisturbed,NA,2002-04-01,0.02841275601382623,7
ALU_39_undisturbed,ALU,undisturbed,NA,2002-04-01,0.02728173929088737,7
ALU_104_disturbed,ALU,disturbed,1999-01-01,2002-05-01,0.02665141699047035,7
ALU_28_disturbed,ALU,disturbed,1979-05-04,2002-05-01,0.02690828912004615,7
ALU_101_disturbed,ALU,disturbed,1999-01-01,2002-05-01,0.02885591347934817,7
ALU_27_disturbed,ALU,disturbed,2001-10-21,2002-05-01,0.02854795799002898,7
ALU_103_disturbed,ALU,disturbed,1999-01-01,2002-05-01,0.02823816317691931,7
ALU_21_disturbed,ALU,disturbed,2001-11-12,2002-05-01,0.02595562778231987,7
ALU_102_disturbed,ALU,disturbed,1999-01-01,2002-05-01,0.02787573510357307,7
ALU_41_undisturbed,ALU,undisturbed,NA,2002-05-01,0.02864300419002389,7
ALU_39_undisturbed,ALU,undisturbed,NA,2002-05-01,0.02867014938980215,7
ALU_50_undisturbed,ALU,undisturbed,NA,2002-05-01,0.02785796420139481,7
ALU_38_undisturbed,ALU,undisturbed,NA,2002-05-01,0.0292541703054249,7
ALU_52_undisturbed,ALU,undisturbed,NA,2002-05-01,0.02737712337646896,7
ALU_35_undisturbed,ALU,undisturbed,NA,2002-05-01,0.02796522162385707,7
ALU_43_undisturbed,ALU,undisturbed,NA,2002-05-01,0.02698909532400891,7
ALU_103_disturbed,ALU,disturbed,1999-01-01,2002-06-01,0.0283136382770453,7
ALU_28_disturbed,ALU,disturbed,1979-05-04,2002-06-01,0.02710634115520971,7
ALU_104_disturbed,ALU,disturbed,1999-01-01,2002-06-01,0.02671786455035764,7
ALU_27_disturbed,ALU,disturbed,2001-10-21,2002-06-01,0.02860406693487317,7
ALU_21_disturbed,ALU,disturbed,2001-11-12,2002-06-01,0.02681456736971503,7
ALU_101_disturbed,ALU,disturbed,1999-01-01,2002-06-01,0.02932402767477663,7
ALU_102_disturbed,ALU,disturbed,1999-01-01,2002-06-01,0.02777121740292094,7
ALU_41_undisturbed,ALU,undisturbed,NA,2002-06-01,0.02838674623059844,7
ALU_34_undisturbed,ALU,undisturbed,NA,2002-06-01,0.02796201379497519,7
ALU_37_undisturbed,ALU,undisturbed,NA,2002-06-01,0.02798251136827514,7
ALU_38_undisturbed,ALU,undisturbed,NA,2002-06-01,0.02935400330138389,7
ALU_39_undisturbed,ALU,undisturbed,NA,2002-06-01,0.02890109037355209,7
ALU_33_undisturbed,ALU,undisturbed,NA,2002-06-01,0.02852712490923147,7
ALU_30_undisturbed,ALU,undisturbed,NA,2002-06-01,0.02908548535300564,7
ALU_28_disturbed,ALU,disturbed,1979-05-04,2002-07-01,0.02730912552507054,7
ALU_103_disturbed,ALU,disturbed,1999-01-01,2002-07-01,0.02833461098134836,7
ALU_104_disturbed,ALU,disturbed,1999-01-01,2002-07-01,0.02723620623074018,7
ALU_21_disturbed,ALU,disturbed,2001-11-12,2002-07-01,0.02679587254618874,7
ALU_27_disturbed,ALU,disturbed,2001-10-21,2002-07-01,0.02863539553950465,7
ALU_101_disturbed,ALU,disturbed,1999-01-01,2002-07-01,0.02923941447403154,7
ALU_102_disturbed,ALU,disturbed,1999-01-01,2002-07-01,0.02729248189811949,7
ALU_43_undisturbed,ALU,undisturbed,NA,2002-07-01,0.02720497229413414,7
ALU_34_undisturbed,ALU,undisturbed,NA,2002-07-01,0.02781052678688219,7
ALU_50_undisturbed,ALU,undisturbed,NA,2002-07-01,0.02771761922746186,7
ALU_39_undisturbed,ALU,undisturbed,NA,2002-07-01,0.02825099398862373,7
ALU_38_undisturbed,ALU,undisturbed,NA,2002-07-01,0.02909097197675351,7
ALU_52_undisturbed,ALU,undisturbed,NA,2002-07-01,0.02729348020212711,7
ALU_35_undisturbed,ALU,undisturbed,NA,2002-07-01,0.02828311510103653,7
ALU_21_disturbed,ALU,disturbed,2001-11-12,2002-08-01,0.02714571378394892,7
ALU_103_disturbed,ALU,disturbed,1999-01-01,2002-08-01,0.02882441235588314,7
ALU_27_disturbed,ALU,disturbed,2001-10-21,2002-08-01,0.02950133720722111,7
ALU_104_disturbed,ALU,disturbed,1999-01-01,2002-08-01,0.02775384314345104,7
ALU_101_disturbed,ALU,disturbed,1999-01-01,2002-08-01,0.02935334590257752,7
ALU_28_disturbed,ALU,disturbed,1979-05-04,2002-08-01,0.02772913062653329,7
ALU_102_disturbed,ALU,disturbed,1999-01-01,2002-08-01,0.02814782080125203,7
ALU_35_undisturbed,ALU,undisturbed,NA,2002-08-01,0.02904979543293152,7
ALU_52_undisturbed,ALU,undisturbed,NA,2002-08-01,0.02752653459872289,7
ALU_50_undisturbed,ALU,undisturbed,NA,2002-08-01,0.02807716769196612,7
ALU_33_undisturbed,ALU,undisturbed,NA,2002-08-01,0.02895492189013505,7
ALU_37_undisturbed,ALU,undisturbed,NA,2002-08-01,0.02854893612769486,7
ALU_44_undisturbed,ALU,undisturbed,NA,2002-08-01,0.02842750938240003,7
ALU_38_undisturbed,ALU,undisturbed,NA,2002-08-01,0.02954908781035883,7
ALU_28_disturbed,ALU,disturbed,1979-05-04,2002-09-01,0.02693802360858728,7
ALU_27_disturbed,ALU,disturbed,2001-10-21,2002-09-01,0.02943595157590814,7
ALU_102_disturbed,ALU,disturbed,1999-01-01,2002-09-01,0.02797659977224688,7
ALU_103_disturbed,ALU,disturbed,1999-01-01,2002-09-01,0.0285113269686932,7
ALU_21_disturbed,ALU,disturbed,2001-11-12,2002-09-01,0.02612079837011059,7
ALU_101_disturbed,ALU,disturbed,1999-01-01,2002-09-01,0.02948594720986395,7
ALU_104_disturbed,ALU,disturbed,1999-01-01,2002-09-01,0.02702272944595728,7
ALU_34_undisturbed,ALU,undisturbed,NA,2002-09-01,0.0271726616852573,7
ALU_52_undisturbed,ALU,undisturbed,NA,2002-09-01,0.02756987508296817,7
ALU_33_undisturbed,ALU,undisturbed,NA,2002-09-01,0.02841726018267563,7
ALU_43_undisturbed,ALU,undisturbed,NA,2002-09-01,0.02794656067759902,7
ALU_37_undisturbed,ALU,undisturbed,NA,2002-09-01,0.02818038471839293,7
ALU_50_undisturbed,ALU,undisturbed,NA,2002-09-01,0.02842504146009946,7
ALU_38_undisturbed,ALU,undisturbed,NA,2002-09-01,0.029512909582117,7
ALU_104_disturbed,ALU,disturbed,1999-01-01,2002-10-01,0.02765517411579408,7
ALU_101_disturbed,ALU,disturbed,1999-01-01,2002-10-01,0.02982566157174328,7
ALU_103_disturbed,ALU,disturbed,1999-01-01,2002-10-01,0.02840955929348006,7
ALU_21_disturbed,ALU,disturbed,2001-11-12,2002-10-01,0.02668399931308976,7
ALU_102_disturbed,ALU,disturbed,1999-01-01,2002-10-01,0.02780909424027888,7
ALU_28_disturbed,ALU,disturbed,1979-05-04,2002-10-01,0.02558472323406545,7
ALU_27_disturbed,ALU,disturbed,2001-10-21,2002-10-01,0.02984393236961516,7
ALU_52_undisturbed,ALU,undisturbed,NA,2002-10-01,0.02755639560768835,7
ALU_44_undisturbed,ALU,undisturbed,NA,2002-10-01,0.0289868652793623,7
ALU_35_undisturbed,ALU,undisturbed,NA,2002-10-01,0.02916500341543693,7
ALU_38_undisturbed,ALU,undisturbed,NA,2002-10-01,0.02937889753892847,7
ALU_43_undisturbed,ALU,undisturbed,NA,2002-10-01,0.02691990433005289,7
ALU_37_undisturbed,ALU,undisturbed,NA,2002-10-01,0.02818276128174092,7
ALU_50_undisturbed,ALU,undisturbed,NA,2002-10-01,0.028286170449678,7
ALU_101_disturbed,ALU,disturbed,1999-01-01,2003-03-01,0.02939671536314086,7
ALU_102_disturbed,ALU,disturbed,1999-01-01,2003-03-01,0.02799700298112783,7
ALU_104_disturbed,ALU,disturbed,1999-01-01,2003-03-01,0.02647247709265898,7
ALU_21_disturbed,ALU,disturbed,2001-11-12,2003-03-01,0.02653112833816864,7
ALU_103_disturbed,ALU,disturbed,1999-01-01,2003-03-01,0.02853149083708565,7
ALU_28_disturbed,ALU,disturbed,1979-05-04,2003-03-01,0.02517119289418175,7
ALU_27_disturbed,ALU,disturbed,2001-10-21,2003-03-01,0.02835534499811557,7
ALU_34_undisturbed,ALU,undisturbed,NA,2003-03-01,0.02706671088338645,7
ALU_50_undisturbed,ALU,undisturbed,NA,2003-03-01,0.02653753253036704,7
ALU_41_undisturbed,ALU,undisturbed,NA,2003-03-01,0.02872685949540489,7
ALU_52_undisturbed,ALU,undisturbed,NA,2003-03-01,0.02784603877448204,7
ALU_43_undisturbed,ALU,undisturbed,NA,2003-03-01,0.02690565100921817,7
ALU_30_undisturbed,ALU,undisturbed,NA,2003-03-01,0.02949352133823871,7
ALU_33_undisturbed,ALU,undisturbed,NA,2003-03-01,0.02794513182990496,7
ALU_104_disturbed,ALU,disturbed,1999-01-01,2003-04-01,0.02701908974841744,7
ALU_27_disturbed,ALU,disturbed,2001-10-21,2003-04-01,0.02944763974615388,7
ALU_101_disturbed,ALU,disturbed,1999-01-01,2003-04-01,0.02936847279476204,7
ALU_102_disturbed,ALU,disturbed,1999-01-01,2003-04-01,0.02799515173337154,7
ALU_103_disturbed,ALU,disturbed,1999-01-01,2003-04-01,0.02798990917538787,7
ALU_28_disturbed,ALU,disturbed,1979-05-04,2003-04-01,0.02773271773852241,7
ALU_21_disturbed,ALU,disturbed,2001-11-12,2003-04-01,0.0256039234576039,7
ALU_52_undisturbed,ALU,undisturbed,NA,2003-04-01,0.02695696389545488,7
ALU_43_undisturbed,ALU,undisturbed,NA,2003-04-01,0.02769678186447462,7
ALU_41_undisturbed,ALU,undisturbed,NA,2003-04-01,0.02864028544880337,7
ALU_33_undisturbed,ALU,undisturbed,NA,2003-04-01,0.0273329109194925,7
ALU_38_undisturbed,ALU,undisturbed,NA,2003-04-01,0.02869953022635441,7
ALU_34_undisturbed,ALU,undisturbed,NA,2003-04-01,0.02754622105927781,7
ALU_37_undisturbed,ALU,undisturbed,NA,2003-04-01,0.02821773200170842,7
ALU_21_disturbed,ALU,disturbed,2001-11-12,2003-05-01,0.02620868508956591,7
ALU_101_disturbed,ALU,disturbed,1999-01-01,2003-05-01,0.02910169392936376,7
ALU_27_disturbed,ALU,disturbed,2001-10-21,2003-05-01,0.0290878398000228,7
ALU_104_disturbed,ALU,disturbed,1999-01-01,2003-05-01,0.02679484798840307,7
ALU_28_disturbed,ALU,disturbed,1979-05-04,2003-05-01,0.02728766550180537,7
ALU_102_disturbed,ALU,disturbed,1999-01-01,2003-05-01,0.02814174704108072,7
ALU_103_disturbed,ALU,disturbed,1999-01-01,2003-05-01,0.02763549497984764,7
ALU_44_undisturbed,ALU,undisturbed,NA,2003-05-01,0.02797777515299899,7
ALU_43_undisturbed,ALU,undisturbed,NA,2003-05-01,0.02691394707795652,7
ALU_52_undisturbed,ALU,undisturbed,NA,2003-05-01,0.026104443011461122,7
ALU_30_undisturbed,ALU,undisturbed,NA,2003-05-01,0.02973807602030387,7
ALU_39_undisturbed,ALU,undisturbed,NA,2003-05-01,0.02761446796360047,7
ALU_38_undisturbed,ALU,undisturbed,NA,2003-05-01,0.02838859507208702,7
ALU_50_undisturbed,ALU,undisturbed,NA,2003-05-01,0.02636223565102993,7
ALU_103_disturbed,ALU,disturbed,1999-01-01,2003-06-01,0.02827399251876406,7
ALU_102_disturbed,ALU,disturbed,1999-01-01,2003-06-01,0.02756481722802473,7
ALU_21_disturbed,ALU,disturbed,2001-11-12,2003-06-01,0.02677617146678883,7
ALU_28_disturbed,ALU,disturbed,1979-05-04,2003-06-01,0.02660478347240992,7
ALU_104_disturbed,ALU,disturbed,1999-01-01,2003-06-01,0.02740364346583473,7
ALU_27_disturbed,ALU,disturbed,2001-10-21,2003-06-01,0.02848978641187681,7
ALU_101_disturbed,ALU,disturbed,1999-01-01,2003-06-01,0.02909291178659257,7
ALU_43_undisturbed,ALU,undisturbed,NA,2003-06-01,0.02637598428285227,7
ALU_34_undisturbed,ALU,undisturbed,NA,2003-06-01,0.02761504426905168,7
ALU_30_undisturbed,ALU,undisturbed,NA,2003-06-01,0.02911117941284008,7
ALU_52_undisturbed,ALU,undisturbed,NA,2003-06-01,0.02714642528924565,7
ALU_41_undisturbed,ALU,undisturbed,NA,2003-06-01,0.02783802887587162,7
ALU_39_undisturbed,ALU,undisturbed,NA,2003-06-01,0.02806608377493768,7
ALU_38_undisturbed,ALU,undisturbed,NA,2003-06-01,0.0284737616473418,7
ALU_28_disturbed,ALU,disturbed,1979-05-04,2003-07-01,0.0275710668173452,8
ALU_102_disturbed,ALU,disturbed,1999-01-01,2003-07-01,0.02843480414367745,8
ALU_21_disturbed,ALU,disturbed,2001-11-12,2003-07-01,0.02766067467888807,8
ALU_104_disturbed,ALU,disturbed,1999-01-01,2003-07-01,0.02796878234642007,8
ALU_27_disturbed,ALU,disturbed,2001-10-21,2003-07-01,0.02908490653316094,8
ALU_101_disturbed,ALU,disturbed,1999-01-01,2003-07-01,0.02917764723911969,8
ALU_20_disturbed,ALU,disturbed,2003-06-25,2003-07-01,0.02932999653403051,8
ALU_103_disturbed,ALU,disturbed,1999-01-01,2003-07-01,0.02862770995747209,8
ALU_41_undisturbed,ALU,undisturbed,NA,2003-07-01,0.02810708009241242,8
ALU_39_undisturbed,ALU,undisturbed,NA,2003-07-01,0.02844650852934812,8
